airport code,country code (alpha-2),country code (alpha-3)
UTK,MH,MHL
OCA,US,USA
PQS,US,USA
CSE,US,USA
JCY,US,USA
PMX,US,USA
WLR,US,USA
NUP,US,USA
PTC,US,USA
ICY,US,USA
PPV,US,USA
KKK,US,USA
MHS,US,USA
GCT,US,USA
ELW,US,USA
LVD,US,USA
HGZ,US,USA
OTN,US,USA
TLF,US,USA
BZT,US,USA
HBH,US,USA
FAK,US,USA
BYW,US,USA
DRF,US,USA
BDF,US,USA
VRS,US,USA
GDH,US,USA
ATT,US,USA
LIV,US,USA
PDB,US,USA
KOZ,US,USA
TNK,US,USA
EVA,US,USA
WHD,US,USA
TKI,US,USA
WKK,US,USA
WFB,US,USA
NNK,US,USA
BKF,US,USA
BCS,US,USA
SPQ,US,USA
TSS,US,USA
QNY,US,USA
BWL,US,USA
WYB,US,USA
CWS,US,USA
TEK,US,USA
DUF,US,USA
SSW,US,USA
FOB,US,USA
PUL,US,USA
CCD,US,USA
WMK,US,USA
AXB,US,USA
REE,US,USA
WDN,US,USA
WWP,US,USA
CHU,US,USA
UGS,US,USA
MXG,US,USA
PSQ,US,USA
KLL,US,USA
SGW,US,USA
WTL,US,USA
TWA,US,USA
KCQ,US,USA
AAD,SO,SOM
ABP,PG,PNG
ABW,PG,PNG
ALV,AD,AND
ADC,PG,PNG
ADV,SD,SDN
DJH,AE,ARE
AEE,SS,SSD
AEI,ES,ESP
AEK,PG,PNG
AEQ,CN,CHN
URZ,AF,AFG
OLR,AF,AFG
AFK,LK,LKA
AFR,PG,PNG
AFT,SB,SLB
RNA,SB,SLB
ATD,SB,SLB
VEV,SB,SLB
GEF,SB,SLB
AGG,PG,PNG
AKS,SB,SLB
BNY,SB,SLB
CHY,SB,SLB
BAS,SB,SLB
FRE,SB,SLB
HIR,SB,SLB
MBU,SB,SLB
AVU,SB,SLB
IRA,SB,SLB
SCZ,SB,SLB
MUA,SB,SLB
GZO,SB,SLB
MNY,SB,SLB
PRS,SB,SLB
OTV,SB,SLB
RNL,SB,SLB
EGM,SB,SLB
NNB,SB,SLB
RUS,SB,SLB
VAO,SB,SLB
XYA,SB,SLB
AGK,PG,PNG
KGE,SB,SLB
KUE,SB,SLB
KWS,SB,SLB
AGL,PG,PNG
NAZ,SB,SLB
RIN,SB,SLB
RBV,SB,SLB
TLG,SB,SLB
AGY,AU,AUS
AHJ,CN,CHN
AHT,US,USA
AHY,MG,MDG
AIE,PG,PNG
AIH,PG,PNG
AIC,MH,MHL
CEX,US,USA
SOL,US,USA
HED,US,USA
TWE,US,USA
KTH,US,USA
NKI,US,USA
LNI,US,USA
CDL,US,USA
AOS,US,USA
BSZ,US,USA
BSW,US,USA
AKM,TD,TCD
TGE,US,USA
ALZ,US,USA
PPE,MX,MEX
AME,MZ,MOZ
AMF,PG,PNG
AMU,PG,PNG
AMY,MG,MDG
ANH,SB,SLB
INU,NR,NRU
ANZ,AU,AUS
ANL,AO,AGO
CNZ,AO,AGO
DRC,AO,AGO
GGC,AO,AGO
JMB,AO,AGO
KNP,AO,AGO
NDF,AO,AGO
AOA,PG,PNG
AOB,PG,PNG
AOD,TD,TCD
APP,PG,PNG
APR,PG,PNG
AQY,US,USA
QRF,AR,ARG
CVI,AR,ARG
CNT,AR,ARG
VGS,AR,ARG
LMD,AR,ARG
SZQ,AR,ARG
VCF,AR,ARG
NCJ,AR,ARG
CPG,AR,ARG
PRQ,AR,ARG
OLN,AR,ARG
ARP,PG,PNG
ARX,US,USA
TAV,AS,ASM
ASZ,PG,PNG
ATN,PG,PNG
ATP,PG,PNG
LYT,AU,AUS
AGW,AU,AUS
AYD,AU,AUS
BYX,AU,AUS
COB,AU,AUS
CRJ,AU,AUS
CRY,AU,AUS
CSD,AU,AUS
DYM,AU,AUS
HIS,AU,AUS
HLV,AU,AUS
KBD,AU,AUS
KGR,AU,AUS
MWY,AU,AUS
MYO,AU,AUS
OKB,AU,AUS
PEP,AU,AUS
RDA,AU,AUS
SSK,AU,AUS
SWB,AU,AUS
TPR,AU,AUS
TWP,AU,AUS
ZVG,AU,AUS
AUI,PG,PNG
AUJ,PG,PNG
AUP,PG,PNG
AUS,US,USA
AUV,PG,PNG
AWE,GA,GAB
AWR,PG,PNG
AXF,CN,CHN
KPM,PG,PNG
BUA,PG,PNG
BRP,PG,PNG
CMU,PG,PNG
MDM,PG,PNG
KPF,PG,PNG
DNU,PG,PNG
DOI,PG,PNG
DAU,PG,PNG
EMS,PG,PNG
XYR,PG,PNG
EPT,PG,PNG
EGA,PG,PNG
EMO,PG,PNG
ERU,PG,PNG
MFZ,PG,PNG
FRQ,PG,PNG
FAQ,PG,PNG
FUM,PG,PNG
GKA,PG,PNG
GUG,PG,PNG
GRL,PG,PNG
GUR,PG,PNG
GAP,PG,PNG
PNP,PG,PNG
GBC,PG,PNG
HBD,PG,PNG
HNI,PG,PNG
HNN,PG,PNG
HKN,PG,PNG
HIT,PG,PNG
IMN,PG,PNG
KGM,PG,PNG
IMD,PG,PNG
IAL,PG,PNG
WIU,PG,PNG
KGH,PG,PNG
LSA,PG,PNG
KPA,PG,PNG
UNG,PG,PNG
KNE,PG,PNG
KRI,PG,PNG
KMA,PG,PNG
KRX,PG,PNG
KIE,PG,PNG
KUQ,PG,PNG
KVG,PG,PNG
LNV,PG,PNG
LAB,PG,PNG
LWI,PG,PNG
LPN,PG,PNG
LNG,PG,PNG
LSJ,PG,PNG
AYM,AE,ARE
MRM,PG,PNG
OBM,PG,PNG
MAG,PG,PNG
HGU,PG,PNG
GUV,PG,PNG
MDU,PG,PNG
MAS,PG,PNG
MXH,PG,PNG
MIS,PG,PNG
MWG,PG,PNG
NKN,PG,PNG
GBF,PG,PNG
MFO,PG,PNG
KSB,PG,PNG
NMN,PG,PNG
NBA,PG,PNG
LAE,PG,PNG
KGB,PG,PNG
OKP,PG,PNG
HOC,PG,PNG
KCJ,PG,PNG
KDE,PG,PNG
OPB,PG,PNG
PGB,PG,PNG
PGN,PG,PNG
MPF,PG,PNG
PMN,PG,PNG
POM,PG,PNG
SPH,PG,PNG
SXA,PG,PNG
RMN,PG,PNG
KMR,PG,PNG
MWI,PG,PNG
MRH,PG,PNG
SBE,PG,PNG
NIS,PG,PNG
SIL,PG,PNG
SBV,PG,PNG
SIM,PG,PNG
SBC,PG,PNG
SPV,PG,PNG
SXW,PG,PNG
MBV,PG,PNG
TIZ,PG,PNG
TBG,PG,PNG
TPI,PG,PNG
RAB,PG,PNG
TKW,PG,PNG
TEP,PG,PNG
TSW,PG,PNG
TRJ,PG,PNG
TWY,PG,PNG
TKB,PG,PNG
AYU,PG,PNG
UMC,PG,PNG
URU,PG,PNG
UPR,PG,PNG
UVO,PG,PNG
TLW,PG,PNG
TCJ,PG,PNG
VAI,PG,PNG
TON,PG,PNG
WAO,PG,PNG
WBM,PG,PNG
WAJ,PG,PNG
WWK,PG,PNG
WOA,PG,PNG
WKN,PG,PNG
